hbar Omega (meV)	Re[K(hbar Omega)] (ps-1)
0.2	0.0192
0.21	0.0192
0.27	0.0344
0.34	0.0535
0.4	0.0725
0.46	0.0992
0.51	0.118
0.57	0.141
0.62	0.164
0.67	0.187
0.73	0.213
0.78	0.236
0.84	0.259
0.9	0.286
0.96	0.313
1.02	0.332
1.08	0.351
1.13	0.37
1.21	0.385
1.27	0.396
1.32	0.404
1.39	0.412
1.45	0.416
1.5	0.416
1.58	0.412
1.64	0.408
1.69	0.401
1.75	0.389
1.82	0.378
1.89	0.363
1.94	0.351
2	0.332
2.01	0.329
2.08	0.313
2.14	0.294
2.19	0.275
2.25	0.26
2.31	0.241
2.37	0.222
2.43	0.203
2.5	0.184
2.56	0.173
2.63	0.154
2.68	0.143
2.76	0.124
2.82	0.112
2.87	0.101
2.94	0.0859
3.01	0.0745
3.07	0.067
3.13	0.0556
3.19	0.0481
3.26	0.0443
3.31	0.0367
3.38	0.033
3.43	0.0292
3.44	0.0292

